strategy	prompt	composite	recall	precision	weight_mae	parse_rate	latency	status	description
2026-03-28T13:01:10Z	S0	v5-few-shot.json	0.523	0.676	0.672	0.401	1.000	3.9	baseline	baseline
2026-03-28T13:03:39Z	S0	v3-multipass.json	0.485	0.685	0.597	0.450	1.000	5.9	discard	v3-multipass
2026-03-28T13:03:39Z	S0	v4-step-by-step.json	0.337	0.662	0.561	0.393	1.000	5.7	discard	v4-step-by-step
2026-03-28T13:51:08Z	test	v5-few-shot.json	0.599	0.709	0.719	0.449	1.000	4.0	baseline	baseline
2026-03-28T14:32:33Z	S1	v5-few-shot.json	0.337	0.519	0.456	0.287	0.982	5.0	baseline	baseline
2026-03-28T14:59:13Z	S1	v7-no-cuisine.json	0.353	0.521	0.456	0.302	0.964	6.6	discard	v7-no-cuisine
2026-03-28T14:59:13Z	S1	v8-calorie-focus.json	0.332	0.395	0.422	0.242	0.982	4.4	discard	v8-calorie-focus
2026-03-28T14:59:13Z	S1	v9-multi-dish-examples.json	0.326	0.526	0.445	0.282	1.000	4.8	discard	v9-multi-dish-examples
2026-03-28T14:59:13Z	S1	v10-weight-anchors.json	0.347	0.538	0.475	0.341	0.982	4.4	discard	v10-weight-anchors
2026-03-28T15:04:20Z	S2	v5-few-shot.json	0.421	0.559	0.496	0.316	1.000	4.5	baseline	baseline
2026-03-28T15:20:48Z	S2	v7-no-cuisine.json	0.416	0.575	0.496	0.324	1.000	4.0	discard	v7-no-cuisine
2026-03-28T15:20:48Z	S2	v11-no-cuisine-weight-anchors.json	0.371	0.536	0.504	0.312	0.982	3.9	discard	v11-no-cuisine-weight-anchors
2026-03-28T15:20:48Z	S2	v12-identify-then-list.json	0.371	0.522	0.486	0.322	1.000	3.6	discard	v12-identify-then-list
2026-03-28T15:20:48Z	S2	v13-schema-first.json	0.439	0.604	0.526	0.339	1.000	5.6	discard	v13-schema-first
2026-03-28T15:41:02Z	S2	v14-schema-first-2ex.json	0.420	0.580	0.477	0.332	1.000	6.0	discard	v14-schema-first-2ex
2026-03-28T15:41:02Z	S2	v15-schema-first-curry-ex.json	0.407	0.547	0.467	0.321	0.982	5.5	discard	v15-schema-first-curry-ex
2026-03-28T15:41:02Z	S2	v16-schema-first-end-weights.json	0.425	0.567	0.513	0.344	1.000	4.5	discard	v16-schema-first-end-weights
2026-03-28T15:41:02Z	S2	v17-schema-first-4ex.json	0.422	0.581	0.545	0.352	1.000	4.9	discard	v17-schema-first-4ex
2026-03-28T16:01:31Z	S2	v20-schema-first-concise.json	0.168	0.170	0.000	0.128	0.446	2.7	discard	v20-schema-first-concise
2026-03-28T16:17:20Z	S2	v21-best-combo.json	0.410	0.536	0.490	0.321	1.000	5.1	discard	v21-best-combo
2026-03-28T16:17:20Z	S2	v22-analyze-food.json	0.436	0.557	0.485	0.349	0.982	5.6	discard	v22-analyze-food
2026-03-28T16:17:20Z	S2	v23-food-log.json	0.386	0.556	0.489	0.322	1.000	5.5	discard	v23-food-log
2026-03-28T16:26:14Z	S2	v24-diverse-examples.json	0.422	0.567	0.492	0.320	1.000	5.8	discard	v24-diverse-examples
2026-03-28T16:26:14Z	S2	v25-input-output.json	0.391	0.464	0.532	0.299	1.000	2.9	discard	v25-input-output
2026-03-28T16:33:04Z	S3	v5-few-shot.json	0.413	0.549	0.472	0.333	0.982	6.3	baseline	baseline
2026-03-28T16:49:12Z	S3	v13-schema-first.json	0.443	0.570	0.480	0.383	1.000	5.8	discard	v13-schema-first
2026-03-28T16:49:12Z	S3	v18-schema-first-short-names.json	0.408	0.544	0.464	0.336	1.000	5.4	discard	v18-schema-first-short-names
2026-03-28T16:49:12Z	S3	v22-analyze-food.json	0.422	0.557	0.475	0.333	1.000	6.0	discard	v22-analyze-food
2026-03-28T17:06:40Z	S3	v26-weight-table.json	0.409	0.550	0.486	0.365	0.982	5.7	discard	v26-weight-table
2026-03-28T17:06:40Z	S3	v27-portion-cues.json	0.396	0.550	0.507	0.341	1.000	5.8	discard	v27-portion-cues
2026-03-28T17:06:40Z	S3	v28-all-visible.json	0.379	0.551	0.468	0.326	0.982	6.2	discard	v28-all-visible
2026-03-28T17:11:47Z	S4	v5-few-shot.json	0.495	0.518	0.435	0.279	0.964	4.7	baseline	baseline
2026-03-28T17:27:55Z	S4	v13-schema-first.json	0.526	0.546	0.470	0.344	0.982	5.9	discard	v13-schema-first
2026-03-28T17:27:55Z	S4	v18-schema-first-short-names.json	0.553	0.569	0.504	0.366	1.000	5.2	discard	v18-schema-first-short-names
2026-03-28T17:27:55Z	S4	v26-weight-table.json	0.537	0.567	0.490	0.352	1.000	5.9	discard	v26-weight-table
2026-03-28T17:48:36Z	S4	v29-v18-end-weights.json	0.535	0.548	0.518	0.342	1.000	4.7	discard	v29-v18-end-weights
2026-03-28T17:48:36Z	S4	v30-v18-analyze.json	0.515	0.539	0.463	0.333	0.964	5.6	discard	v30-v18-analyze
2026-03-28T17:48:36Z	S4	v31-v18-no-anchors.json	0.531	0.554	0.498	0.342	0.982	5.6	discard	v31-v18-no-anchors
2026-03-28T17:48:36Z	S4	v18-schema-first-short-names.json	0.516	0.545	0.452	0.330	0.982	5.6	discard	v18-schema-first-short-names
2026-03-28T18:05:27Z	S4	v32-calibrated-weights.json	0.523	0.546	0.472	0.332	1.000	5.4	discard	v32-calibrated-weights
2026-03-28T18:05:27Z	S4	v33-calibrated-no-anchors.json	0.542	0.577	0.470	0.357	1.000	6.3	discard	v33-calibrated-no-anchors
2026-03-28T18:05:27Z	S4	v34-calibrated-4ex.json	0.533	0.564	0.511	0.293	0.982	5.2	discard	v34-calibrated-4ex
2026-03-28T18:10:05Z	S5	v5-few-shot.json	0.543	0.533	0.488	0.293	0.982	4.0	baseline	baseline
2026-03-28T18:26:45Z	S5	v13-schema-first.json	0.581	0.581	0.495	0.356	1.000	5.7	discard	v13-schema-first
2026-03-28T18:26:45Z	S5	v18-schema-first-short-names.json	0.580	0.564	0.510	0.365	0.982	5.5	discard	v18-schema-first-short-names
2026-03-28T18:26:45Z	S5	v33-calibrated-no-anchors.json	0.528	0.527	0.411	0.304	0.982	6.5	discard	v33-calibrated-no-anchors
2026-03-28T18:38:34Z	S5	v36-v13-calibrated.json	0.569	0.558	0.487	0.344	1.000	5.6	discard	v36-v13-calibrated
2026-03-28T18:53:37Z	S5	v37-optimal-combo.json	0.572	0.546	0.559	0.333	1.000	4.5	discard	v37-optimal-combo
2026-03-28T18:53:37Z	S5	v13-schema-first.json	0.573	0.548	0.485	0.346	1.000	5.4	discard	v13-schema-first
2026-03-28T18:53:37Z	S5	v18-schema-first-short-names.json	0.556	0.543	0.449	0.346	0.982	5.8	discard	v18-schema-first-short-names
